 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
40,Bryan Reynolds#,30,PIT,NL,654,0.319,99,0.319,0.157,2.4,26.5,8.7,91.1,45.9,28.3,47.2,23.5,0.9,36.2,46.5,17.3,-2.9,-0.50%,-5.45,27.1,60,43.8,*9D/H,,reynobr01
41,Trevor Story,32,BOS,AL,654,0.333,105,0.33,0.17,3.8,26.9,5,91.3,47.6,20.5,43.4,27.4,0.77,25.8,54.1,20.1,1,0.90%,21.58,37.3,96.9,53.7,*6/HD,,storytr01
42,Junior Caminero,21,TBR,AL,653,0.366,136,0.26,0.271,6.9,19.1,6.3,92.4,51.6,19,46.7,25.8,0.88,32.6,51.7,15.7,-0.2,-0.40%,17.93,30.4,87.5,41.4,*5/DH3,ASMVP-9,caminju01
43,Brandon Nimmo*,32,NYM,NL,652,0.335,113,0.301,0.174,3.8,21.6,7.7,91.8,50.2,23.1,45.8,23.6,0.85,29.7,49.8,20.5,-1.9,-1.30%,12.28,30.1,92.9,25.9,*7/8DH,,nimmobr01
44,Yandy Díaz,33,TBR,AL,651,0.364,136,0.318,0.182,3.8,14.1,8.8,93.1,53,22.4,54,20,1.18,14.3,57.9,27.8,1.2,0.30%,19.24,25.4,75,40.4,*D3,MVP-18,diazya01
45,Gunnar Henderson*,24,BAL,AL,651,0.349,122,0.329,0.165,2.6,21,9.5,92.1,49.4,25.8,48.5,18.9,0.94,30.1,53,16.9,2.4,0.20%,26.16,32.4,85.7,54.8,*6/DH,,hendegu01
46,Seiya Suzuki,30,CHC,NL,651,0.348,129,0.282,0.233,4.9,25.2,10.9,91.3,48.7,25.8,31.8,34.7,0.47,30.4,52.8,16.9,0.1,0.10%,24.04,23.9,71.4,41.3,D97/H8,MVP-20,suzukse01
47,Nico Hoerner,28,CHC,NL,649,0.338,118,0.313,0.097,1.1,7.6,6,86.7,30.5,25.5,44.9,23.8,0.82,26.5,55.1,18.4,1.6,0.70%,12.36,37.8,82.9,44.1,*4/6,MVP-19GG,hoernni01
48,Jackson Holliday*,21,BAL,AL,649,0.305,97,0.291,0.133,2.6,21.6,8.6,88.7,40.9,21.9,48.8,25.1,0.96,30.2,51.5,18.3,-0.9,-0.20%,-5.81,28.3,60.7,37.7,*4/6DH,,hollija01
49,Spencer Torkelson,25,DET,AL,649,0.339,116,0.283,0.217,4.8,26,11.1,90.2,45.1,24.1,27.6,36.6,0.38,34.6,52.1,13.3,1.1,1.20%,11.45,27.6,66.7,49.1,*3D/H,,torkesp01
50,Pete Crow-Armstrong*,23,CHC,NL,647,0.337,117,0.276,0.234,4.8,24,4.5,88,41.9,21.6,31.1,35.5,0.47,45.6,39.9,14.5,1.2,1.20%,7.1,39.2,81.4,58.5,*8/HD,ASMVP-9GG,crowape01
51,Dansby Swanson,31,CHC,NL,645,0.323,108,0.298,0.173,3.7,26,7.3,90.1,47.8,24.5,41.6,27.3,0.72,29.9,57.2,12.9,-0.9,-0.80%,-3.87,35.5,87,42.9,*6,,swansda01
52,Christian Yelich*,33,MIL,NL,644,0.35,121,0.323,0.188,4.5,25.9,9.9,90,46.6,22.9,56.5,17.2,1.31,27.8,53.1,19.2,0.6,0.30%,30.35,30.7,72.7,57.8,*D7/H,MVP-12,yelicch01
53,Corbin Carroll*,24,ARI,NL,642,0.382,137,0.299,0.282,4.8,23.8,10.4,92.1,50.1,22.9,35.7,32,0.55,35.9,49.2,14.9,2.3,1.30%,27.89,40,84.2,66.7,*9/8DH,ASMVP-6SS,carroco02
54,Michael Harris II*,24,ATL,NL,641,0.295,83,0.281,0.16,3.1,20,2.5,89.4,43.6,22.3,49.2,21.3,1,32.8,53.4,13.8,-0.9,-0.10%,-18.25,23.2,76.9,34.2,*8/H,,harrimi04
55,Salvador Perez,35,KCR,AL,641,0.311,97,0.251,0.209,4.7,19.5,4.4,90,46.7,23.3,35.1,32.6,0.54,32.2,51.9,15.9,0,-0.90%,3.35,15.9,,25.6,2D3,,perezsa02
56,Christian Walker,34,HOU,AL,640,0.312,96,0.291,0.183,4.2,27.7,6.3,90.9,46.1,24.3,37.4,29.4,0.6,29.6,54.4,16,0,-0.30%,-2.08,27.6,66.7,42,*3/DH,,walkech02
57,Trea Turner,32,PHI,NL,639,0.368,124,0.35,0.153,2.3,16.7,6.7,89.3,42.1,24.2,48.3,23.1,0.94,28.1,53.9,18,1.9,1.40%,20.05,37.3,83.7,58.3,*6/DH,MVP-5,turnetr01
58,CJ Abrams*,24,WSN,NL,635,0.338,111,0.296,0.176,3,19.7,5.8,88.6,39.2,23.7,39.9,28.1,0.67,35.3,50.5,14.2,1,0.30%,6.31,40.3,91.2,61.8,*6/HD,,abramcj01
59,Lawrence Butler*,24,ATH,AL,630,0.313,95,0.304,0.17,3.3,28.4,9.4,90,44.4,25.5,45.7,22.7,0.86,27,52,20.9,-1.7,-0.60%,-8.58,36,75.9,42.6,*98H,,butlela01
60,Bo Bichette,27,TOR,AL,628,0.364,132,0.342,0.172,2.9,14.5,6.4,91,49,29.1,47.4,19.8,0.9,17.2,56.3,26.5,3.6,2.80%,26.45,29.1,57.1,37.9,*6/DH,MVP-16,bichebo01
61,Gleyber Torres,28,DET,AL,628,0.336,113,0.284,0.132,2.5,16.1,13.5,90,39.1,26,38.4,30.6,0.62,20.1,56.6,23.3,1.2,0.30%,20.58,30.1,80,47.4,*4D/H,AS,torregl01
